line_a,line_b,overlap,kmer,k,section
ašag[field]n_duh[loosen]v/t,ašag[field]n_nisaba[1]dn,2,field,5,1
ašag[field]n_nisaba[1]dn,ašag[field]n_tul[fountain]n_mušen[bird]n,2,field,5,1
ašag[field]n_tul[fountain]n_mušen[bird]n,ašag[field]n_eninnu[1]tn,2,field,5,1
ašag[field]n_eninnu[1]tn,ašag[field]n_e[house]n_amar[young]n,2,field,5,1
ašag[field]n_e[house]n_amar[young]n,ašag[field]n_alim[bison]n,2,field,5,1
ašag[field]n_alim[bison]n,ašag[field]n_iginim[land]n,2,field,5,1
ašag[field]n_iginim[land]n,ašag[field]n_iginim[land]n_anta[upper]v/t,4,iginim,6,1
ašag[field]n_iginim[land]n_anta[upper]v/t,ašag[field]n_iginim[land]n_kita[lower]aj,4,iginim,6,1
ašag[field]n_iginim[land]n_kita[lower]aj,ašag[field]n_ha-at-num₂[na]na,2,field,5,1
ašag[field]n_ha-at-num₂[na]na,ašag[field]n_da-ab-ta[na]na,2,field,5,1
ašag[field]n_da-ab-ta[na]na,ašag[field]n_da-ab-ta[na]na_balare[other-side]n,3,da-ab-ta,8,1
ašag[field]n_da-ab-ta[na]na_balare[other-side]n,ašag[field]n_hu-bu-zi[na]na,2,field,5,1
ašag[field]n_hu-bu-zi[na]na,ašag[field]n_ninmug[1]dn,2,field,5,1
ašag[field]n_ninmug[1]dn,ašag[field]n_par[canal]n_{d}nidaba[na]na,2,field,5,1
ašag[field]n_par[canal]n_{d}nidaba[na]na,ašag[field]n_buru[harvest]n_mah[great]v/i,2,field,5,1
ašag[field]n_buru[harvest]n_mah[great]v/i,ašag[field]n_buru[harvest]n_mah[great]v/i_tur[small]v/i,6,harvest,7,1
ašag[field]n_buru[harvest]n_mah[great]v/i_tur[small]v/i,ašag[field]n_buru[harvest]n_mah[great]v/i_gal[big]v/i,6,harvest,7,1
ašag[field]n_buru[harvest]n_mah[great]v/i_gal[big]v/i,ašag[field]n_buru[harvest]n_mah[great]v/i_enlil[1]dn,6,harvest,7,1
ašag[field]n_buru[harvest]n_mah[great]v/i_enlil[1]dn,ašag[field]n_buru[harvest]n_mah[great]v/i_{d}|sal.tug₂|-a[na]na,6,harvest,7,1
ašag[field]n_buru[harvest]n_mah[great]v/i_{d}|sal.tug₂|-a[na]na,ašag[field]n_{d}en-lil₂-ŋar-ra[na]na,2,field,5,1
ašag[field]n_{d}en-lil₂-ŋar-ra[na]na,ašag[field]n_{d}en-lil₂-igi-bar-ra[na]na,2,{d}en-lil₂-,11,1
ašag[field]n_{d}en-lil₂-igi-bar-ra[na]na,ašag[field]n_tum[dove]n_ŋar[place]v/t,2,field,5,1
ašag[field]n_tum[dove]n_ŋar[place]v/t,ašag[field]n_šim[na]na,2,field,5,1
ašag[field]n_šim[na]na,ašag[field]n_edin-la₂[na]na,2,field,5,1
ašag[field]n_edin-la₂[na]na,ašag[field]n_saŋkešed[strap]n,2,field,5,1
ašag[field]n_saŋkešed[strap]n,ašag[field]n_sudin[plant]n,2,field,5,1
ašag[field]n_sudin[plant]n,ašag[field]n_ki.kal[grasses]n,2,field,5,1
ašag[field]n_ki.kal[grasses]n,ašag[field]n_ribba[plant]n,2,field,5,1
ašag[field]n_ribba[plant]n,ašag[field]n_sur[ditch]n,2,field,5,1
ašag[field]n_sur[ditch]n,ašag[field]n_sur[ditch]n_{d}gilgameš[na]na,4,field,5,1
ašag[field]n_sur[ditch]n_{d}gilgameš[na]na,ašag[field]n_zag[side]n_us[follow]v/t,2,field,5,1
ašag[field]n_zag[side]n_us[follow]v/t,ašag[field]n_halub[tree]n_andul[shade]n,2,field,5,1
ašag[field]n_halub[tree]n_andul[shade]n,ašag[field]n_ganda[locus]n,2,field,5,1
ašag[field]n_ganda[locus]n,ašag[field]n_gan₂-bur₃[na]na,2,field,5,1
ašag[field]n_gan₂-bur₃[na]na,ašag[field]n_apin[plow]n_zu[know]v/t,2,field,5,1
ašag[field]n_apin[plow]n_zu[know]v/t,ašag[field]n_esir[shoe]n_dub[tremble]v/t,2,field,5,1
ašag[field]n_esir[shoe]n_dub[tremble]v/t,ašag[field]n_i₃-naŋa₄(gum)[na]na,2,field,5,1
ašag[field]n_i₃-naŋa₄(gum)[na]na,ašag[field]n_niŋin[district]n,2,field,5,1
ašag[field]n_niŋin[district]n,ašag[field]n_ŋir₂-si[na]na,2,field,5,1
ašag[field]n_ŋir₂-si[na]na,ašag[field]n_{ŋeš}kiri₆-lu₂-us₂-gi-na[na]na,2,field,5,1
ašag[field]n_{ŋeš}kiri₆-lu₂-us₂-gi-na[na]na,ašag[field]n_usal[meadow]n,2,field,5,1
ašag[field]n_usal[meadow]n,ašag[field]n_sal[thin]v/i,2,field,5,1
ašag[field]n_sal[thin]v/i,ašag[field]n_ka-bur-ra[na]na,2,field,5,1
ašag[field]n_ka-bur-ra[na]na,ašag[field]n_kaʾusa[function]n,2,field,5,1
ašag[field]n_kaʾusa[function]n,ašag[field]n_lam-ka[na]na,2,field,5,1
ašag[field]n_lam-ka[na]na,ašag[field]n_agar[meadow]n,2,field,5,1
ašag[field]n_agar[meadow]n,ašag[field]n_agar[meadow]n,4,meadow,6,1
ašag[field]n_agar[meadow]n,ašag[field]n_agar[meadow]n_tur[small]v/i,4,meadow,6,1
ašag[field]n_agar[meadow]n_tur[small]v/i,ašag[field]n_agar[meadow]n_gal[big]v/i,4,meadow,6,1
ašag[field]n_agar[meadow]n_gal[big]v/i,ašag[field]n_agar[meadow]n_gibil[new]v/i,4,meadow,6,1
ašag[field]n_agar[meadow]n_gibil[new]v/i,ašag[field]n_agar[meadow]n_duru[wet]v/i,4,meadow,6,1
ašag[field]n_agar[meadow]n_duru[wet]v/i,ašag[field]n_agar[meadow]n_asal[poplar]n,4,meadow,6,1
ašag[field]n_agar[meadow]n_asal[poplar]n,ašag[field]n_agar[meadow]n_{d}nin-tu[na]na,4,meadow,6,1
ašag[field]n_agar[meadow]n_{d}nin-tu[na]na,ašag[field]n_agar[meadow]n_{d}lu₂-lal₃[na]na,4,meadow,6,1
ašag[field]n_agar[meadow]n_{d}lu₂-lal₃[na]na,ašag[field]n_agar[meadow]n_kug[pure]v/i,4,meadow,6,1
ašag[field]n_agar[meadow]n_kug[pure]v/i,ašag[field]n_agar[meadow]n_šeʾeštub[barley]n,4,meadow,6,1
ašag[field]n_agar[meadow]n_šeʾeštub[barley]n,ašag[field]n_agar[meadow]n_šeŋuš[barley]n,5,meadow,6,1
ašag[field]n_agar[meadow]n_šeŋuš[barley]n,ašag[field]n_agar[meadow]n_ninurta[1]dn,4,meadow,6,1
ašag[field]n_agar[meadow]n_ninurta[1]dn,ašag[field]n_e₂-dun[na]na,2,field,5,1
ašag[field]n_e₂-dun[na]na,ašag[field]n_uz[duck]n,2,field,5,1
ašag[field]n_uz[duck]n,ašag[field]n_hili[attractiveness]n,2,field,5,1
ašag[field]n_hili[attractiveness]n,ašag[field]n_egir[back]n_hili[attractiveness]n,4,attractiveness,14,1
ašag[field]n_egir[back]n_hili[attractiveness]n,ašag[field]n_šum[garlic]n_la[hang]v/t,2,field,5,1
ašag[field]n_šum[garlic]n_la[hang]v/t,ašag[field]n_egir[back]n_šum[garlic]n_la[hang]v/t,6,garlic,6,1
ašag[field]n_egir[back]n_šum[garlic]n_la[hang]v/t,ašag[field]n_id[river]n_ŋiri[foot]n_bala[turn]v/t,2,field,5,1
ašag[field]n_id[river]n_ŋiri[foot]n_bala[turn]v/t,ašag[field]n_mar[shovel]n,2,field,5,1
ašag[field]n_mar[shovel]n,ašag[field]n_egir[back]n_mar[shovel]n,4,shovel,6,1
ašag[field]n_egir[back]n_mar[shovel]n,ašag[field]n_šu-zi-an-na[na]na,2,field,5,1
ašag[field]n_šu-zi-an-na[na]na,ašag[field]n_banda[junior]v/i,2,field,5,1
ašag[field]n_banda[junior]v/i,ašag[field]n_egir[back]n_banda[junior]v/i,4,junior,6,1
ašag[field]n_egir[back]n_banda[junior]v/i,ašag[field]n_gi[thicket]n_mah[great]v/i,2,field,5,1
